horsepower,weight,cylinders,displacement
115.0,2595,6,173.0
180.0,4380,8,350.0
150.0,4457,8,318.0
105.0,3897,6,250.0
193.0,4732,8,304.0
110.0,3039,6,231.0
150.0,4096,8,318.0
86.0,2464,4,107.0
65.0,2380,4,98.0
84.0,2490,4,135.0
84.0,2385,4,135.0
98.0,3525,6,250.0
90.0,2123,4,116.0
90.0,2430,4,107.0
130.0,4295,8,302.0
67.0,2950,5,121.0
67.0,1850,4,91.0
72.0,2290,4,107.0
90.0,3420,8,260.0
150.0,3755,8,318.0
71.0,3190,4,141.0
68.0,2155,4,98.0
215.0,4312,8,440.0
107.0,2472,6,155.0
122.0,2807,6,156.0
70.0,2070,4,85.0
75.0,2265,4,108.0
76.0,2065,4,88.0
116.0,2900,6,168.0
96.0,2665,4,144.0
142.0,4054,8,351.0
90.0,3211,6,232.0
150.0,3399,8,318.0
165.0,4209,8,350.0
63.0,2215,4,105.0
75.0,2205,4,107.0
96.0,2300,4,122.0
103.0,2830,5,131.0
48.0,2335,4,90.0
83.0,2202,4,101.0
102.0,3150,4,130.0
63.0,2051,4,98.0
80.0,2451,4,122.0
190.0,4422,8,400.0
100.0,2945,6,232.0
170.0,4165,8,350.0
150.0,4257,8,304.0
86.0,2226,4,122.0
83.0,2219,4,98.0
72.0,3432,6,250.0
139.0,3570,8,302.0
105.0,3380,6,231.0
140.0,4080,8,318.0
150.0,3761,8,400.0
70.0,1990,4,85.0
68.0,2135,4,98.0
149.0,4335,8,351.0
95.0,2372,4,113.0
100.0,3630,6,225.0
60.0,1834,4,97.0
95.0,3785,6,225.0
90.0,2711,4,134.0
52.0,2035,4,85.0
87.0,2672,4,110.0
70.0,2125,4,98.0
165.0,4274,8,350.0
208.0,4633,8,429.0
62.0,2050,4,89.0
160.0,3609,8,340.0
78.0,2188,4,97.0
158.0,4363,8,351.0
83.0,2639,4,140.0
65.0,1836,4,71.0
93.0,2391,4,108.0
52.0,1985,4,78.0
150.0,3672,8,304.0
120.0,2930,6,146.0
100.0,2634,6,232.0
175.0,5140,8,400.0
71.0,1925,4,89.0
100.0,2789,6,232.0
86.0,2220,4,122.0
78.0,2190,4,97.0
70.0,2150,4,105.0
70.0,2200,4,105.0
72.0,2565,4,140.0
112.0,2868,4,121.0
150.0,3892,8,304.0
145.0,4140,8,318.0
145.0,3425,8,305.0
110.0,2720,3,80.0
88.0,2100,4,97.0
97.0,2489,4,120.0
150.0,4077,8,318.0
65.0,2110,4,86.0
68.0,2045,4,98.0
70.0,2074,4,79.0
100.0,3278,6,250.0
120.0,3962,8,304.0
150.0,4237,8,318.0
85.0,2310,4,122.0
92.0,2585,4,156.0
88.0,3302,6,250.0
145.0,4055,8,350.0
230.0,4278,8,400.0
84.0,2370,4,135.0
97.0,2330,3,70.0
68.0,1970,4,91.0
60.0,1968,4,89.0
140.0,4141,8,302.0
90.0,2678,4,151.0
110.0,3415,6,231.0
83.0,2075,4,98.0
138.0,3955,8,351.0
71.0,1825,4,97.0
110.0,2660,4,121.0
100.0,3233,6,225.0
150.0,4699,8,350.0
65.0,2019,4,86.0
220.0,4354,8,454.0
53.0,1795,4,91.0
105.0,3725,8,350.0
110.0,3730,6,258.0
225.0,4425,8,455.0
97.0,2300,4,119.0
90.0,2408,4,140.0
95.0,3155,6,200.0
129.0,3725,8,302.0
210.0,4382,8,318.0
90.0,2670,4,151.0
92.0,2288,4,97.0
46.0,1835,4,97.0
53.0,1795,4,91.0
97.0,2506,4,120.0
110.0,2725,6,173.0
110.0,3907,6,231.0
165.0,3445,6,231.0
130.0,3840,8,305.0
105.0,2800,4,156.0
175.0,3821,8,360.0
90.0,3381,6,225.0
150.0,4498,8,318.0
145.0,3880,8,305.0
90.0,3003,4,151.0
91.0,2582,4,114.0
150.0,3940,8,318.0
175.0,4385,8,400.0
71.0,1990,4,89.0
97.0,2405,4,119.0
88.0,2395,4,112.0
100.0,2901,6,232.0
105.0,3425,6,231.0
167.0,4906,8,400.0
100.0,2420,3,70.0
98.0,2945,4,121.0
90.0,2556,4,151.0
225.0,3086,8,455.0
86.0,2395,4,122.0
78.0,3574,6,250.0
65.0,1975,4,86.0
152.0,4215,8,351.0
67.0,1950,4,79.0
63.0,2125,4,105.0
150.0,3777,8,318.0
70.0,1945,4,85.0
170.0,3563,8,383.0
140.0,3449,8,302.0
79.0,2625,4,120.0
75.0,2230,4,105.0
180.0,4955,8,383.0
67.0,2065,4,97.0
110.0,3360,6,225.0
100.0,3329,6,250.0
66.0,1800,4,98.0
90.0,2648,6,199.0
88.0,2870,4,140.0
74.0,2190,4,105.0
84.0,2295,4,135.0
150.0,3940,8,360.0
68.0,2025,4,91.0
48.0,1985,4,90.0
175.0,4464,8,400.0
85.0,3015,6,262.0
130.0,3870,8,302.0
150.0,3436,8,318.0
150.0,4997,8,400.0
92.0,2434,4,119.0
95.0,3193,6,258.0
110.0,3520,6,250.0
92.0,2620,4,156.0
80.0,1915,4,98.0
140.0,4215,8,305.0
